symbol,company_name,category
NVG,Nepal Vanaspati Ghee Udhyog Limited,Manufacturing And Processing
NWC,Nepal Welfare Company Limited,Tradings
OHL,Oriental Hotels Limited,Hotels And Tourism
PBLD84,Prabhu  Bank Limited,Commercial Banks
PBLD86,Prabhu  Bank Limited,Commercial Banks
PCBL,Prime Commercial Bank Ltd.,Commercial Banks
PFL,Pokhara Finance Ltd.,Finance
PICL,Prudential Insurance Co. Ltd.,Non Life Insurance
PMHPL,Panchakanya Mai Hydropower Ltd,Hydro Power
PPCL,Panchthar Power Company Ltd,Hydro Power
PRIN,Prabhu Insurance Ltd.,Non Life Insurance
PROFL,ProgressiveFinance Limited,Finance
PRVU,Prabhu  Bank Limited,Commercial Banks
